Project Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8
Talbot/Bernard (Rental),Dorchester,2124,44,44,0,0,0,0,44,44,0,Rental,Private,,
Tate (VUP),Dorchester,2124,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
Taurus Apts,Roxbury,2121,38,38,0,0,0,0,38,38,0,Rental,Private,,Y
Taurus at Fountain Hill,Roxbury,2119,73,73,0,0,0,0,73,73,0,Rental,Private,,Y
TDC III,South End,2118,61,61,0,46,46,0,15,15,0,Rental,Private,,
Tebroc Levant (HOME AGAIN),Dorchester,2124,5,1,4,0,0,0,5,1,4,Ownership/Rental,Private,,
Telford 180 (Formerly Charlesview Telford),Brighton,2135,85,0,85,79,0,79,6,0,6,Ownership,Private,,
Ten Most Wanted - 1,Dorchester,2121,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
Ten Most Wanted - 10,Roxbury,2125,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
Ten Most Wanted - 11,Dorchester,2121,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
Ten Most Wanted - 12,Roxbury,2125,1,0,1,0,0,0,1,0,1,Ownership,Private,,
Ten Most Wanted - 13,Roxbury,2119,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
Ten Most Wanted - 14,Dorchester,2124,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
Ten Most Wanted - 15,Roxbury,2125,1,0,1,0,0,0,1,0,1,Ownership,Private,,
Ten Most Wanted - 2,Mattapan,2126,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
Ten Most Wanted - 3,Roxbury,2119,4,2,2,0,0,0,4,2,2,Ownership/Rental,Private,,
Ten Most Wanted - 4,Dorchester,2122,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
Ten Most Wanted - 5,Dorchester,2121,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
Ten Most Wanted - 6,Dorchester,2121,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
Ten Most Wanted - 7,Dorchester,2124,2,1,1,0,0,0,2,1,1,Ownership,Private,,
Ten Most Wanted - 8,Dorchester,2121,3,2,1,2,2,0,1,0,1,Ownership,Private,,
Ten Most Wanted - 9,Dorchester,2121,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
Tent City,South End,2116,270,270,0,0,0,0,270,270,0,Rental,Private,,
Thane St Apts,Dorchester,2124,6,6,0,0,0,0,6,6,0,Rental,Private,,Y
The 1850 Condominium,South End,2118,87,0,87,76,0,76,11,0,11,Ownership,Private,,
The Aberdeen,Brighton,2125,40,0,40,35,0,35,5,0,5,Ownership,Private,,
The Anchorage,Charlestown,2129,112,112,0,89,89,0,23,23,0,Rental,Private,Y,
The Andi (South Bay Town Center Building C),Dorchester,2125,215,215,0,187,187,0,28,28,0,Rental,Private,,
The Beverly,West End,2114,239,239,0,0,0,0,239,239,0,Rental,Private,,
The Boulevard,Downtown,2110,36,0,36,31,0,31,5,0,5,Ownership,Private,,
The Brownstones,South End,2116,35,35,0,28,28,0,7,7,0,Rental,Private,,
The Bryant,South End,2116,50,0,50,48,0,48,2,0,2,Ownership,Private,,
The Bulfinch,Mission Hill,2120,5,5,0,0,0,0,5,5,0,Ownership,Private,,
The Carillon,Fenway,2115,31,30,1,30,30,0,1,0,1,Ownership/Rental,Private,,
The Chester,South End,2118,17,17,0,7,7,0,10,10,0,Rental,Private,,Y
The Clarendon,Back Bay,2116,285,178,107,248,142,106,37,36,1,Ownership/Rental,Private,,
The Clarion,Roxbury,2121,39,39,0,7,7,0,32,32,0,Rental,Private,,
The Commons at Forest Hills,Jamaica Plain,2130,283,283,0,243,243,0,40,40,0,Rental,Private,,
The Dorchester,Mattapan,2126,47,47,0,0,0,0,47,47,0,Rental,Private,?,Y
The Edge,Allston,2134,79,79,0,69,69,0,10,10,0,Rental,Private,,
The Graphic,Charlestown,2129,171,171,0,148,148,0,23,23,0,Rental,Private,,
The Harmon Apartments (Boston Home Group),Dorchester,2124,36,0,36,6,0,6,30,30,0,Rental,Private,,
The Harvey,Charlestown,2129,177,177,0,154,154,0,23,23,0,Rental,Private,,
The Homes at Roxbury Crossing,Mission Hill,2120,22,0,22,0,0,0,22,0,22,Ownership,Private,,
The Lancaster,Brighton,2134,55,0,55,37,0,37,18,0,18,Ownership,Private,,
The Macallen,South Boston,2127,144,0,144,124,0,124,20,0,20,Ownership,Private,,
The Mark at DeNormanie Wharf,East Boston,2128,107,0,107,101,0,101,6,0,6,Ownership,Private,,
The Melnea (Parcel 9/Residential),Roxbury,2119,50,50,0,43,43,0,7,7,0,Rental,Private,,
The Metropolitan,Chinatown,2111,251,133,118,136,52,84,115,81,34,Ownership/Rental,Private,,Y
The Modern,Roxbury,2118,62,0,62,53,0,53,9,0,9,Ownership,Private,,
The Mt Vernon,Allston,2134,7,7,0,5,5,0,2,2,0,Rental,Private,,
The Nautica,Charlestown,2129,117,0,117,105,0,105,12,0,12,Ownership,Private,,
The Pierce,Fenway,2215,349,240,109,307,68,239,42,41,1,Ownership/Rental,Private,,
The Radian,Chinatown,2111,240,240,0,235,235,0,5,5,0,Rental,Private,,
The Residences At Forest Hills,Jamaica Plain,2130,250,250,0,200,200,0,50,50,0,Rental,Private,,
The Residences at St. Augustine,South Boston,2127,29,0,29,25,0,25,4,0,4,Ownership,Private,,
The Residences at West Broadway,South Boston,2127,139,139,0,122,122,0,17,17,0,Rental,Private,,
The Residences on E,South Boston,2127,34,0,34,30,0,30,4,0,4,Ownership,Private,,
The Seville Boston Harbor,East Boston,2128,66,0,66,58,0,58,8,0,8,Ownership,Private,,
The Stearns,Downtown,2111,140,140,0,1,1,0,139,139,0,Rental,Private,Y,Y
The Sudbury [Govt Center Garage Rental],Downtown,2114,368,368,0,305,305,0,63,63,0,Rental,Private,,
The Tremont,Mission Hill,2120,66,66,0,65,65,0,1,1,0,Rental,Private,,
Theroch,Roxbury,2121,222,222,0,31,31,0,191,191,0,Rental,Private,,Y
Thetford-Dyer Neighborhood Homes,Dorchester,2124,16,7,9,6,6,0,10,4,6,Ownership/Rental,Private,,
Torre Unidad (2-49),South End,2118,201,201,0,0,0,0,201,201,0,Rental,Public,Y,
Townhouses at Glenwood,Hyde Park,2136,19,0,19,17,0,17,2,0,2,Rental,Private,?,
Townhouses at Neponset River,Hyde Park,2136,16,0,16,14,0,14,2,0,2,Ownership,Private,,
Treadmark,Dorchester,2124,83,51,32,28,0,28,55,51,4,Ownership/Rental,Private,,
Tremont Houses,Roxbury,2118,23,23,0,0,0,0,23,23,0,Rental,Private,,
Trilogy Residential,Fenway,2215,534,534,0,475,475,0,59,59,0,Rental,Private,,
Trinity Neighborhood House,East Boston,2128,16,16,0,0,0,0,16,16,0,Rental,Private,?,
Trinity Terrace,Dorchester,2121,62,62,0,0,0,0,62,62,0,Rental,Private,,
Trolley House Condos,South Boston,2127,25,0,25,23,0,23,2,0,2,Ownership,Private,,
Troy Boston,South End,2118,378,378,0,340,340,0,38,38,0,Rental,Private,,
Trull/Ware Homes,Dorchester,2125,4,1,3,0,0,0,4,1,3,Ownership/Rental,Private,,
Twenty at Luma,Roxbury,2119,20,0,20,0,0,0,20,0,20,Ownership,Private,,
UE Apartments,Jamaica Plain,2130,82,82,0,0,0,0,82,82,0,Rental,Private,Y,
UE Dixwell Park,Jamaica Plain,2119,33,33,0,0,0,0,33,33,0,Rental,Private,,
Uhomes,Brighton,2134,20,0,20,8,0,8,12,0,12,Ownership,Private,,
Ulin House,Brighton,2135,242,242,0,0,0,0,242,242,0,Rental,Private,Y,Y
Uphams Corner Market Residential and Elderhouse,Dorchester,2125,45,45,0,1,1,0,44,44,0,Rental,Private,Y,
Uphams Corner/Red Hazel Apts,Dorchester,2125,36,36,0,0,0,0,36,36,0,Rental,Private,,Y
Uphams West,Roxbury,2125,13,13,0,0,0,0,13,13,0,Rental,Private,,
Upton Street Lodging House,South End,2136,19,19,0,1,1,0,18,18,0,Rental,Private,,
Upton Street Lodging House Units,South End,2118,19,19,0,1,1,0,18,18,0,Rental,Private,,
Urbanica 691,Roxbury,2118,40,0,40,38,0,38,2,0,2,Ownership,Private,,
Urbanica Highland Park (E+),Roxbury,2119,4,0,4,3,0,3,1,0,1,Ownership,Private,,
Uva Douglas Estates,Roxbury,2121,15,15,0,0,0,0,15,15,0,Rental,Private,,
Valenchuck (VUP),Dorchester,2122,2,2,0,0,0,0,2,2,0,Rental,Private,,
Van Ness Terrace,Roxbury,2119,50,50,0,0,0,0,50,50,0,Rental,Private,,
Vet Step Up,Roxbury,2121,10,10,0,0,0,0,10,10,0,Rental,Private,,
Veterans Studios at Brighton Marine,Brighton,2135,25,25,0,0,0,0,25,25,0,Rental,Private,,
VFW Parkway Condos,West Roxbury,2132,15,0,15,14,0,14,1,0,1,Ownership,Private,,
Victoria Apartments,South End,2118,190,190,0,0,0,0,190,190,0,Rental,Private,,Y
Victory Gardens Plaza,East Boston,2128,87,87,0,0,0,0,87,87,0,Rental,Private,Y,Y
Victory House,South End,2118,6,6,0,0,0,0,6,6,0,Rental,Private,,
Viet-AID,Dorchester,2122,6,6,0,0,0,0,6,6,0,Rental,Private,,
Villa Michelangelo,North End,2113,71,71,0,0,0,0,71,71,0,Rental,Private,Y,
Village At Cleary Square,Hyde Park,2136,59,0,59,53,0,53,6,0,6,Ownership,Private,,
Vines (VUP) CDFI,Dorchester,2121,2,2,0,0,0,0,2,2,0,Rental,Private,,
Viridian,Fenway,2215,350,350,0,312,312,0,38,38,0,Rental,Private,,
VITA,Jamaica Plain,2130,126,0,126,107,0,107,19,0,19,Ownership,Private,,
Viviendas Associates I,South End,2118,181,181,0,0,0,0,181,181,0,Rental,Private,,Y
Viviendas La Victoria II,South End,2118,190,190,0,0,0,0,190,190,0,Rental,Private,,
Wait Street,Mission Hill,2115,100,100,0,0,0,0,100,100,0,Rental,Private,Y,Y
Walker Park Apartments,Roxbury,2130,49,49,0,0,0,0,49,49,0,Rental,Private,,
Wallingford Housing,Brighton,2135,209,209,0,0,0,0,209,209,0,Rental,Private,Y,Y
Walnut Avenue Apartments (SPO),Jamaica Plain,2130,31,31,0,0,0,0,31,31,0,Rental,Private,,
Walnut Community Housing,Roxbury,2119,37,37,0,3,3,0,34,34,0,Rental,Private,Y,
Walnut House/Rogerson,Jamaica Plain,2119,37,37,0,0,0,0,37,37,0,Rental,Private,Y,
Walter Baker Lofts,Mattapan,2124,13,13,0,0,0,0,13,13,0,Rental,Private,,
Walter J. Martin Coop,South Boston,2127,34,34,0,0,0,0,34,34,0,Cooperative,Private,,
Wardman Apts,Roxbury,2119,88,88,0,0,0,0,88,88,0,Rental,Private,,Y
Wareham Lofts,South End,2118,28,0,28,25,0,25,3,0,3,Ownership,Private,,
Warren Avenue Apts,South End,2116,30,30,0,1,1,0,29,29,0,Rental,Private,,Y
Warren Gardens Coop,Roxbury,2119,228,228,0,0,0,0,228,228,0,Cooperative,Private,,Y
Warren Green Leasehold Condominiums,Charlestown,2129,17,0,17,15,0,15,2,0,2,Ownership,Private,,
Warren St Nursing Home,Roxbury,2121,9,9,0,0,0,0,9,9,0,Rental,Private,,
Washington Grove,West Roxbury,2132,24,0,24,21,0,21,3,0,3,Ownership/Rental,Private,,
"Washington Heights I, II",Roxbury,2119,175,175,0,0,0,0,175,175,0,Rental,Private,,Y
Washington Manor (2-44C),South End,2118,77,77,0,0,0,0,77,77,0,Rental,Public,Y,
Washington Mews,Dorchester,2124,20,20,0,0,0,0,20,20,0,Rental,Private,,
Washington Street (2-35),Brighton,2135,82,82,0,0,0,0,82,82,0,Rental,Public,Y,
Washington-Beech (2-13),Roslindale,2131,206,206,0,0,0,0,206,206,0,Rental,Public/Private,,Y
Waterford Place,South End,2118,40,40,0,14,14,0,26,26,0,Rental,Private,,
Watermark Seaport Apartments,South Boston Waterfront,2210,346,346,0,301,301,0,45,45,0,Rental,Private,,
Waterside Place,South Boston Waterfront,2210,236,236,0,231,231,0,5,5,0,Rental,Private,,
Waterstone at the Circle,Brighton,2135,92,92,0,80,80,0,12,12,0,Rental,Private,?,
Waterview Apartments,South Boston,2127,49,49,0,0,0,0,49,49,0,Rental,Private,Y,Y
Watson (VUP),Dorchester,2124,2,2,0,0,0,0,2,2,0,Rental,Private,,
Waverly Abby - Bridge Over Troubled Waters,Brighton,2134,28,28,0,0,0,0,28,28,0,Rental,Private,,
Waverly Homes II,Roxbury,2125,9,2,7,0,0,0,9,2,7,Ownership/Rental,Private,,
Wayland Street Homes,Roxbury,2125,6,0,6,0,0,0,6,0,6,Ownership,Private,,
Wayne Apartments,Roxbury,2121,74,74,0,0,0,0,74,74,0,Rental,Private,,Y
Wayne at Bicknell,Dorchester,2121,72,72,0,0,0,0,72,72,0,Rental,Private,,Y
Wayne at Blue Hill,Mattapan,2126,48,48,0,0,0,0,48,48,0,Rental,Private,,Y
Wayne at Columbia,Dorchester,2121,83,83,0,0,0,0,83,83,0,Rental,Private,,Y
Wayne at Franklin,Dorchester,2124,72,72,0,0,0,0,72,72,0,Rental,Private,,Y
Weld Park Apts,Roslindale,2131,14,14,0,0,0,0,14,14,0,Rental,Private,Y,Y
Wellington Hill Phase I,Dorchester,2126,23,9,14,0,0,0,23,9,14,Ownership/Rental,Private,,
Wellington Hill Phase II,Mattapan,2126,8,3,5,0,0,0,8,3,5,Ownership/Rental,Private,,
Welsh (VUP),Brighton,2135,1,1,0,0,0,0,1,1,0,Rental,Private,,
West Broadway/D St (200-1),South Boston,2127,484,484,0,0,0,0,484,484,0,Rental,Public,,
West Cottage St Condominiums,Roxbury,2125,4,0,4,0,0,0,4,0,4,Ownership,Private,,
West Fenway Elderly,South End,2118,5,5,0,0,0,0,5,5,0,Rental,Private,Y,
West Newton Street (2-58),South End,2118,149,149,0,0,0,0,149,149,0,Rental,Public,,
West Ninth Street (2-36),South Boston,2127,84,84,0,1,1,0,83,83,0,Rental,Public,Y,
West Roxbury Residences,West Roxbury,2132,4,4,0,0,0,0,4,4,0,Rental,Private,,
West Square,South Boston,2127,255,255,0,222,222,0,33,33,0,Rental,Private,,
Westland Avenue Apartments,Fenway,2115,96,96,0,35,35,0,61,61,0,Rental,Private,Y,Y
Westminster 21 (Urban Edge),Roxbury,2119,5,0,5,0,0,0,5,0,5,Ownership,Private,,
Westminster Court,Roxbury,2119,70,70,0,0,0,0,70,70,0,Rental,Private,,
Whittier Street Apartments (2-11),Roxbury,2120,144,144,0,16,16,0,128,128,0,Rental,Public/Private,,
Whittier/Lyndhurst/Washington,Dorchester,2124,44,44,0,0,0,0,44,44,0,Rental,Private,,
Wilder Gardens,Dorchester,2121,61,61,0,0,0,0,61,61,0,Rental,Private,,Y
Wilkes Passage Loft Condominium,South End,2118,155,0,155,135,0,135,20,0,20,Ownership,Private,,
Williams (VUP),Roxbury,2119,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Willowwood|Hildreth NHI,Dorchester,2124,8,4,4,0,0,0,8,4,4,Ownership/Rental,Private,,
Wilshire Apartments,Roxbury,2121,29,29,0,0,0,0,29,29,0,Rental,Private,,Y
Winslow Court,Roxbury,2119,24,5,19,0,0,0,24,5,19,Ownership/Rental,Private,,
Winston/Harwood (689-?),Dorchester,2124,10,0,10,0,0,0,10,0,10,Ownership,Public,,
Wood (VUP),Dorchester,2124,1,1,0,0,0,0,1,1,0,Rental,Private,,
Woodbourne Elderly Apts,Jamaica Plain,2130,76,76,0,1,1,0,75,75,0,Rental,Private,Y,Y
Woodbury Cunard Building,East Boston,2128,17,17,0,0,0,0,17,17,0,Rental,Private,Y,
Woodledge/Granfield,Roslindale,2131,6,6,0,0,0,0,6,6,0,Rental,Private,,
Woodward Park - North - Home Again,Roxbury,2125,10,0,10,0,0,0,10,0,10,Ownership,Private,,
Woodward Park II - HOME AGAIN,Roxbury,2125,11,0,11,0,0,0,11,0,11,Ownership,Private,,
Worcester House,Back Bay,2116,16,16,0,0,0,0,16,16,0,Rental,Private,,
Worcester Square,South End,2118,31,31,0,0,0,0,31,31,0,Rental,Private,,
Wrentham St School,Mission Hill,2120,8,8,0,0,0,0,8,8,0,Rental,Private,,
x & 404 West Second St,South Boston,2127,17,0,17,14,0,14,3,0,3,Ownership,Private,,
x & 50 Corbet (REMS Land),Dorchester,2124,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x & x St George Street Condominium,South End,2118,29,0,29,15,0,15,14,0,14,Ownership,Private,,
x -1740 Washington St,South End,2118,33,33,0,2,2,0,31,31,0,Rental,Private,,
x A Street,South Boston,2127,25,0,25,22,0,22,3,0,3,Ownership,Private,,
x A Street Front,South Boston Waterfront,2127,48,0,48,44,0,44,4,0,4,Ownership,Private,,
x Adams Street,Dorchester,2122,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Albany Street,South End,2118,40,0,40,35,0,35,5,0,5,Ownership,Private,,
x Algonquin St,Dorchester,2124,9,9,0,1,1,0,8,8,0,Rental,Private,,
x Alpine Street,Roxbury,2119,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Alvah Kittredge Park,Roxbury,2119,4,2,2,3,1,2,1,1,0,Ownership/Rental,Private,,
x American Legion Highway (AOP),Roslindale,2131,8,8,0,0,0,0,8,8,0,Rental,Private,,
x Amory Ave,Jamaica Plain,2119,39,39,0,0,0,0,39,39,0,Rental,Private,,
x Amory St,Jamaica Plain,2119,12,12,0,10,10,0,2,2,0,Rental,Private,,
x and 120-122 Mt. Pleasant Avenue,Roxbury,2119,9,9,0,0,0,0,9,9,0,Rental,Private,,
x and 380 Harrison Ave,South End,2118,273,172,101,218,120,98,55,52,3,Ownership/Rental,Private,,
x Arbutus (YouthBuild),Dorchester,2124,2,0,2,0,0,0,2,0,2,Ownership,Private,,
x Arbutus Street,Dorchester,2124,2,0,2,0,0,0,2,0,2,Ownership,Private,,
x Arlington St (AOP),Hyde Park,2136,4,4,0,0,0,0,4,4,0,Rental,Private,,
x Ashland St,Dorchester,2122,6,6,0,0,0,0,6,6,0,Rental,Public,,
x Astoria Street (Beharry VUP),Mattapan,2126,2,2,0,0,0,0,2,2,0,Rental,Private,,
x Athens St,South Boston,2127,15,0,15,13,0,13,2,0,2,Ownership,Private,,
x B Street,South Boston,2127,3,0,3,2,0,2,1,0,1,Ownership,Private,,
x Banton St,Dorchester,2124,18,0,18,16,16,0,2,2,0,Rental,Private,,
x Batchelder St,Dorchester,2125,2,1,1,0,0,0,2,1,1,Ownership/Rental,Public,,
x Beach St. Loft Condominium,Leather District,2111,44,0,44,41,0,41,3,0,3,Ownership,Private,,
x Belgrade Ave,Roslindale,2131,21,21,0,18,18,0,3,3,0,Rental,Private,,
x Bellevue Street,Dorchester,2125,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Bennington St,East Boston,2128,42,42,0,37,37,0,5,5,0,Rental,Private,,
x Bennington St (AOP),East Boston,2128,2,2,0,0,0,0,2,2,0,Rental,Private,,
x Bennington St. EBO 02128-COB,East Boston,2128,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
x Birch Rd (RDP),West Roxbury,2122,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Blackinton St (AOP),East Boston,2128,2,2,0,0,0,0,2,2,0,Rental,Private,,
x Blue Hill Ave,Roxbury,2119,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
x Blue Hill Ave (REMS buildings),Roxbury,2121,2,2,0,0,0,0,2,2,0,Rental,Private,,
x Boardman,East Boston,2128,19,19,0,17,0,17,2,0,2,Ownership,Private,,
x Boardman St,East Boston,2128,6,6,0,0,0,0,6,6,0,Rental,Public,,
x Bowdoin Ave (AOP),Dorchester,2121,31,31,0,0,0,0,31,31,0,Rental,Private,,
x Bowdoin St,Dorchester,2124,3,3,0,0,0,0,3,3,0,Rental,Public,,
x Bowdoin St (RDP),Dorchester,2121,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Boylston,Fenway,2215,199,199,0,189,189,0,10,10,0,Rental,Private,,
x Boylston Rehab Phase,Downtown,2116,46,46,0,0,0,0,46,46,0,Rental,Private,,
x Boylston St,Downtown,2116,18,18,0,16,16,0,2,2,0,Rental,Private,,
x Braintree Street,Allston,2134,80,80,0,69,69,0,11,11,0,Rental,Private,,
x Breed St (AOP),East Boston,2128,2,2,0,0,0,0,2,2,0,Rental,Private,,
x Bremen St,East Boston,2128,32,32,0,27,27,0,5,5,0,Rental,Private,,
x Bremen St (AOP),East Boston,2128,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Broad Street,Downtown,2110,96,0,96,93,0,93,3,0,3,Ownership,Private,,
x Brooks St (AOP),East Boston,2128,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Burbank Street,Fenway,2115,36,36,0,5,5,0,31,31,0,Rental,Private,,
x Burt St/VOA Sober House,Dorchester,2124,16,16,0,0,0,0,16,16,0,Rental,Private,,
x Bushnell St,Dorchester,2124,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Cambridge,Allston,2134,44,0,44,38,0,38,6,0,6,Ownership,Private,,
x Cambridge St,Allston,2134,32,0,32,28,0,28,4,0,4,Ownership,Private,,
x Cambridge Street,Allston,2134,40,40,0,35,35,0,5,5,0,Rental,Private,,
x Cameron Street,Dorchester,2125,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Carlford Rd,Jamaica Plain,2130,2,2,0,0,0,0,2,2,0,Rental,Public,,
x Catawba St - Youthbuild,Roxbury,2119,3,2,1,1,1,0,2,1,1,Ownership/Rental,Private,,
x Centre Street,Jamaica Plain,2119,103,103,0,68,68,0,35,35,0,Rental,Public/Private,,
x Cetnre Street,Jamaica Plain,2130,204,204,0,0,0,0,204,204,0,Rental,Public,,
x Chamblet Street,Dorchester,2125,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Chaucer St (AOP),East Boston,2128,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Chauncy Street Condominium,Downtown,2111,33,0,33,29,0,29,4,0,4,Ownership,Private,,
x Chelsea St (1-4 Program),East Boston,2128,4,0,4,0,0,0,4,0,4,Ownership,Private,,
x Chelsea St (AOP),East Boston,2128,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Chelsea Street E. Boston - COB,East Boston,2128,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
x Chestnut Ave (1-4 Program),Jamaica Plain,2130,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Chestnut Hill Ave,Brighton,2135,21,21,0,18,18,0,3,3,0,Rental,Private,,
x Chipman St (RDP),Dorchester,2124,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Clarkson St,Dorchester,2125,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
x Clifton St,Dorchester,2125,2,2,0,0,0,0,2,2,0,Rental,Public,,
x Clifton St (RDP),Roxbury,2119,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Coffey St,Dorchester,2122,46,46,0,43,43,0,3,3,0,Rental,Private,,
x Coleman St (1-4 Program),Dorchester,2125,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Coleman St (REO),Dorchester,2125,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,
x Coleman Street,Dorchester,2125,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Colonial Avenue E+,Dorchester,2124,4,0,4,3,0,3,1,0,1,Ownership,Private,,
x Columbus Ave,Roxbury,2119,5,5,0,0,0,0,5,5,0,Rental,Private,,
x Columbus Ave Conversion,South end,2116,62,0,62,54,0,54,8,0,8,Ownership,Private,,
x Columbus Avenue,Roxbury,2119,165,165,0,0,0,0,165,165,0,Rental,Public,Y,
x Commercial St,North End,2109,20,0,20,18,0,18,2,0,2,Ownership ,Private,,
x Commonwealth Ave,Brighton,2135,80,80,0,70,70,0,10,10,0,Rental,Private,,
x Commonwealth Ave (Phase 2 - Dorm/Micro Conversion),Allston,2134,179,179,0,155,155,0,24,24,0,Rental,Private,,
x Commonwealth Avenue,Allston,2134,61,61,0,1,1,0,60,60,0,Rental,Private,,
x Congress Street,South Boston Waterfront,2127,44,44,0,40,40,0,4,4,0,Rental,Private,,
x Corman Road Mattapan - COB,Mattapan,2126,2,1,1,1,0,1,1,0,1,Ownership,Private,,
x Cranston St,Jamaica Plain,2130,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Crawford Street SRO,Roxbury,2121,17,17,0,0,0,0,17,17,0,Rental,Private,,
x Cummins Highway,Mattapan,2126,32,32,0,0,0,0,32,32,0,Rental,Private,,
x D St,South Boston,2127,8,8,0,0,0,0,8,8,0,Rental,Private,,
x D Street,South Boston Waterfront,2127,197,197,0,171,171,0,26,26,0,Rental,Private,,
x Dacia Street,Roxbury,2125,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
x Dale Street Condominium,Roxbury,2119,4,0,4,0,0,0,4,0,4,Ownership,Private,,
x Devon Street,Dorchester,2121,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Dorchester Av,Dorchester,2124,64,0,64,56,56,0,8,8,0,Rental,Private,,
x Dorchester Ave,Dorchester,2125,13,0,13,11,0,11,2,0,2,Ownership,Private,,
x Dorchester Ave. (SPO),Dorchester,2122,43,43,0,0,0,0,43,43,0,Rental,Private,,
x Dorchester Avenue,South Boston,2127,33,0,33,29,0,29,4,0,4,Ownership,Private,,
x Dorchester St,South Boston,2127,35,35,0,29,29,0,6,6,0,Rental,Private,,
x Dorchester St.,South Boston,2127,7,7,0,0,0,0,7,7,0,Rental,Private,,
x Draper St (BuildHOME),Dorchester,2122,2,1,1,1,1,0,1,0,1,Ownership/Rental,Private,,
x Dudley St (REO),Dorchester,2125,4,4,0,0,0,0,4,4,0,Rental,Private,,
x Dudley Street,Roxbury,2119,68,68,0,0,0,0,68,68,0,Rental,Private,,
x Dunlap Street,Dorchester,2124,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Dunreath St (RDP),Roxbury,2119,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
x E Eagle Street (AOP),East Boston,2128,3,3,0,0,0,0,3,3,0,Rental,Private,,
x E Fifth Street,South Boston,2127,19,0,19,17,0,17,2,0,2,Ownership,Private,,
x E Second St,South Boston,2127,16,0,16,14,0,14,2,0,2,Ownership,Private,,
x E Third St,South Boston,2127,18,0,18,16,0,16,2,0,2,Ownership,Private,,
x East Broadway,South Boston,2127,18,18,0,16,16,0,2,2,0,Rental,Private,,
x East Brookline,South End,2118,6,0,6,5,0,5,1,0,1,Ownership,Private,,
x East First,South Boston,2127,28,0,28,24,0,24,4,0,4,Ownership,Private,,
x East Second,South Boston,2127,20,20,0,17,17,0,3,3,0,Rental,Private,,
x East Second Street,South Boston,2127,13,12,1,12,0,12,1,0,1,Ownership/Rental,Private,,
x East Springfield St,South End,2118,5,5,0,0,0,0,5,5,0,Rental,Private,,Y
x East Third St,South Boston,2127,18,0,18,16,0,16,2,0,2,Ownership,Private,,
x Elizabeth St,Mattapan,2126,6,6,0,0,0,0,6,6,0,Rental,Private,,
x Ellington St,Dorchester,2121,6,6,0,0,0,0,6,6,0,Cooperative,Private,,
x Elwyn Road (REO),Dorchester,2124,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Esmond Street,Dorchester,2121,2,1,1,1,1,0,1,0,1,Ownership/Rental,Private,,
x Eustis Street,Roxbury,2119,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Eutaw St (AOP),East Boston,2128,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Evans Street: Perry,Dorchester,2124,1,0,1,0,0,0,1,0,1,Ownership,Private,,
