Project Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income- Restricted,Income- Restricted Rental,Income- Restricted Ownership,Tenure,Public/ Private,Includes Elderly Units?,Section_8
x Park St,Dorchester,02122,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Park St Lodging House,Dorchester,02122,16,16,0,0,0,0,16,16,0,Rental - SRO,Private,,
x Park St/YouthBuild,Dorchester,02124,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Parker Hill Ave,Jamaica Plain,02120,40,40,0,34,34,0,6,6,0,Rental,Private,,
x Peacevale Rd,Mattapan,02124,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Peterborough,Fenway/Kenmore,02215,20,20,0,17,17,0,3,3,0,Rental,Private,,
x Peterborough Street,Fenway/Kenmore,02215,11,11,0,10,10,0,1,1,0,Rental,Private,,
x Portland St,Central,02114,80,0,80,73,0,73,7,0,7,Ownership,Private,,
x Prescott Street,East Boston,02128,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Prince St,Central,02113,57,0,57,51,0,51,6,0,6,Ownership,Private,,
x Princeton Street (1-4),East Boston,02128,3,0,3,0,0,0,3,0,3,Ownership,Private,,
x Puritan Ave,Dorchester,02121,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Quincy St,Roxbury,02125,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
x Quincy Street,Dorchester,02122,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,
x Quincy Street (1-4),Roxbury,02121,3,0,3,0,0,0,3,0,3,Ownership,Private,,
x Ridgewood St,Dorchester,02122,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Rill St (BuildHome),Dorchester,02125,2,1,1,1,1,0,1,0,1,Ownership/Rental,Private,,
x River St,Hyde Park,02136,32,32,0,28,28,0,4,4,0,Rental,Private,,
x River Street,Mattapan,02126,27,27,0,23,23,0,4,4,0,Rental,Private,,
x Robert Street,Roslindale,02131,14,14,0,13,13,0,1,1,0,Rental,Private,,
x Rockland Avenue,Roxbury,02119,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Rockwell Street,Dorchester,02124,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Roxbury St,Roxbury,02119,11,11,0,9,9,0,2,2,0,Rental,Private,,
x Ruskindale Road,Roxbury,02136,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Saratoga St,East Boston,02128,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
x Saratoga St (AOP),East Boston,02128,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Saratoga Street,East Boston,02128,18,18,0,15,15,0,3,3,0,Rental,Private,,
x Savin Hill Ave,Dorchester,02125,14,14,0,13,13,0,1,1,0,Rental,Private,,
x Savin Street,Roxbury,02119,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Schuyler St (BuildHome),Roxbury,02121,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Seaver Street,Roxbury,02121,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Selden St,Mattapan,02124,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Selden St (BuildHome),Mattapan,02124,2,1,1,1,1,0,1,0,1,Ownership/Rental,Private,,
x Seussex Rd,Roxbury,02120,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x South Huntington,JAMAICA PLAIN,02116,38,38,0,33,33,0,5,5,0,Rental,Private,,
x South St,Central,02111,54,0,54,49,0,49,5,0,5,Ownership,Private,,
x Southern Ave,Dorchester,02124,1,1,0,0,0,0,1,1,0,Rental,Private,,
x Spencer St,Dorchester,02124,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
x St Andrew Rd (AOP),East Boston,02128,3,3,0,0,0,0,3,3,0,Rental,Private,,
x St. George Street Condominium,South End,02118,29,0,29,15,0,15,14,0,14,Ownership,Private,,
x Stillman St. Conodminium,Central,02113,28,0,28,25,0,25,3,0,3,Ownership,Private,,
x Stoughton Neighborhood Homes,Dorchester,02125,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Stratton Street,Mattapan,02124,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
x Summit Aveue,Allston/Brighton,02135,15,0,15,14,0,14,1,0,1,Ownership,Private,,
x Sumner Street,East Boston,02128,34,34,0,29,29,0,5,5,0,Rental,Private,,
x Sussex Street,South End,02120,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Talbot Ave,Dorchester,02124,4,3,1,0,0,0,4,3,1,Ownership/Rental,Private,,
x Talbot Avenue,Dorchester,02124,7,7,0,0,0,0,7,7,0,Rental,Private,,
x Tennis Road,Mattapan,02126,12,12,0,0,0,0,12,12,0,Rental,Private,,
x Toledo Terrace,Dorchester,02122,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
x Tonawanda St,Dorchester,02124,1,1,0,0,0,0,1,1,0,Rental,Private,,
x Topliff St,Dorchester,02122,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,
x Tremlett Street,Dorchester,02124,2,1,1,1,1,0,1,0,1,Ownership/Rental,Private,,
x Tremont,South End,02118,4,4,0,3,3,0,1,1,0,Rental,Private,,
x Tremont St,South End,02118,7,7,0,0,0,0,7,7,0,Rental,Private,,
x Tremont Street,Jamaica Plain,02120,18,18,0,16,16,0,2,2,0,Rental,Private,,
x Tremont Street Apartments,Allston/Brighton,02135,62,62,0,54,54,0,8,8,0,Rental,Private,,
x Union Ave,Jamaica Plain,02130,59,59,0,0,0,0,59,59,0,Rental - Homeless,Private,,
x Verrill St & x Ballou Ave,Mattapan,02124,18,18,0,0,0,0,18,18,0,Rental,Private,,
x W Broadway,South Boston,02127,33,0,33,29,0,29,4,0,4,Ownership,Private,,
x W Second St,South Boston,02127,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Walk Hill St,Mattapan,02126,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,
x Warren St,Roxbury,02121,21,21,0,0,0,0,21,21,0,Rental - SRO,Private,,
x Warren Street (1-4),Roxbury,02119,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
1478 Washington St,South End,02118,15,15,0,0,0,0,15,15,0,Rental,Public,,
x Washington St Lodging,Dorchester,02124,10,10,0,0,0,0,10,10,0,Rental - SRO,Private,,
x Waverly Street,Roxbury,02119,8,8,0,0,0,0,8,8,0,Rental,Private,,
x Wayland St,Dorchester,02125,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
x Wellesley Park,Dorchester,02124,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
x Wenhan St,Jamaica Plain,02130,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Wentworth St (BuildHome),Dorchester,02124,2,1,1,1,1,0,1,0,1,Ownership/Rental,Private,,
x West 2nd St,South Boston,02127,17,0,17,16,0,16,1,0,1,Ownership,Private,,
x West 7th St,South Boston,02127,15,0,15,0,0,0,15,0,15,Ownership,Private,,
x West Broadway,South Boston,02127,31,31,0,27,27,0,4,4,0,Rental,Private,,
x West Second St,South Boston,02127,15,0,15,13,0,13,2,0,2,Ownership,Private,,
x West Walnut Pk,Roxbury,02119,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Westland Avenue,Fenway/Kenmore,02115,20,20,0,18,18,0,2,2,0,Rental,Private,,
x Westminister Ave,Roxbury,02119,5,0,5,0,0,0,5,0,5,Ownership,Private,,
x Westmore Rd (BuildHome),Mattapan,02126,2,1,1,1,1,0,1,0,1,Ownership/Rental,Private,,
x Wheatland Avenue,Dorchester,02124,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Wildwood Street,Mattapan,02124,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Winston Rd,Mattapan,02126,6,6,0,0,0,0,6,6,0,Rental,Private,,
x Woodbine St,Roxbury,02119,2,0,2,0,0,0,2,0,2,Ownership,Private,,
x Woodrow Ave,Mattapan,02124,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
x Worcester St,South End,02118,8,8,0,0,0,0,8,8,0,Rental,Private,,Y
x Wyman (Adaptive Reuse Phase),Jamaica Plain,02130,35,0,35,29,0,29,6,0,6,Ownership,Private,,
x Zeigler Street,Roxbury,02119,8,8,0,0,0,0,8,8,0,Rental,Private,,
xx A Street,South Boston,02127,12,0,12,11,0,11,1,0,1,Ownership,Private,,
xx Arbutus Street,Roxbury,02124,2,0,2,0,0,0,2,0,2,Ownership,Private,,
xx B Street,South Boston,02127,32,0,32,28,0,28,4,0,4,Ownership,Private,,
xx Blue Hill Ave,Roxbury,02119,2,2,0,0,0,0,2,2,0,Rental,Private,,
25 Bowdoin St,Dorchester,02124,2,2,0,0,0,0,2,2,0,Rental,Public,,
xx Boylston St,Central,02116,18,18,0,16,16,0,2,2,0,Rental,Private,,
xx Clarkson St,Dorchester,02125,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
xx Clifton St,Roxbury,02119,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
xx Coleman Street,Dorchester,02125,1,0,1,0,0,0,1,0,1,Ownership,Private,,
xx Cummins Highway,Mattapan,02126,16,16,0,0,0,0,16,16,0,Rental,Private,,
xx Dixwell St,Roxbury,02119,6,6,0,0,0,0,6,6,0,Rental,Private,,
xx Dorchester Ave,Dorchester,02125,13,0,13,11,0,11,2,0,2,Ownership,Private,,
xx Dorchester St,South Boston,02127,7,7,0,0,0,0,7,7,0,Rental,Private,,
xx Eustis Street,Roxbury,02119,14,14,0,0,0,0,14,14,0,Rental,Private,,
xx Glenway St,Roxbury,02121,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
xx Harrison Ave,South End,02118,84,0,84,34,0,34,50,0,50,Ownership,Private,,
xx Huckins St,Roxbury,02119,4,4,0,0,0,0,4,4,0,Cooperative,Private,,
xx Lexington St (1-4 Program),East Boston,02128,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
xx Magnolia St,Roxbury,02121,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
xx Marion St,East Boston,02128,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
xx Maywood Street,Roxbury,02119,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
xx Mt. Pleasant Avenue,Roxbury,02119,9,9,0,0,0,0,9,9,0,Rental,Private,,
xx Nelson Street,Mattapan,02124,3,3,0,0,0,0,3,3,0,Rental,Private,,
xx River Street,Mattapan,02126,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
xx Saratoga Street,East Boston,02128,6,6,0,0,0,0,6,6,0,Rental,Private,,Y
xx Spencer St,Dorchester,02124,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,
xx Talbot Ave,Dorchester,02124,13,13,0,0,0,0,13,13,0,Rental - Elderly,Private,Y,
xx Tremont Street,Jamaica Plain,02120,66,66,0,65,65,0,1,1,0,Rental,Private,,
xx Washington St,South End,02118,33,33,0,2,2,0,31,31,0,Rental - SRO,Private,,
xx Wentworth St (BuildHome),Dorchester,02124,2,1,1,1,1,0,1,0,1,Ownership/Rental,Private,,
xx West 7th St,South Boston,02127,25,0,25,24,0,24,1,0,1,Ownership,Private,,
xx West Broadway,South Boston,02127,3,0,3,0,0,0,3,0,3,Ownership,Private,,
xxx West Broadway,South Boston,02127,15,15,0,13,13,0,2,2,0,Ownership,Private,,
xx West Second St,South Boston,02127,17,0,17,14,0,14,3,0,3,Ownership,Private,,
xx Westminister Ave,Roxbury,02119,4,0,4,0,0,0,4,0,4,Ownership,Private,,
xx Woodbine St,Roxbury,02119,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
xxx Blue Hill Ave,Roxbury,02119,3,2,1,0,0,0,3,1,2,Ownership/Rental,Private,,
xxx Bowdoin St,Dorchester,02121,1,0,1,0,0,0,1,0,1,Ownership,Private,,
xxx Boylston Street,Fenway/Kenmore,02215,212,212,0,188,188,0,24,24,0,Rental,Private,,
xxx Clarkson St,Dorchester,02125,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
xxx Dixwell St,Roxbury,02119,6,6,0,0,0,0,6,6,0,Rental,Private,,
xxx Dorchester Ave (SPO),Dorchester,02122,43,43,0,0,0,0,43,43,0,Rental,Private,,
xxx Glenway St,Roxbury,02121,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
xxx Harrison Avenue,South End,02118,4,0,4,3,0,3,1,0,1,Ownership/Rental,Private,,
xxx Magnolia St,Roxbury,02125,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
xxx Marion St,East Boston,02128,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
xxx River Street,Hyde Park,02136,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,
xxx Washington St,Roxbury,02130,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
xxxx Blue Hill Ave,Mattapan,02126,13,0,13,12,0,12,1,0,1,Ownership,Private,,
xxxx Boylston Street,Central,02116,48,48,0,45,45,0,3,3,0,Rental,Private,,
xxxx Clarkson St,Dorchester,02125,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
xxxx Dorchester Ave,South Boston,02127,33,0,33,29,0,29,4,0,4,Ownership,Private,,
xxxx Washington St,Jamaica Plain,02130,21,21,0,17,17,0,4,4,0,Rental,Private,,
136 Blue Hill Ave,Roxbury,02119,10,10,0,0,0,0,10,10,0,Rental,Public,,
xxxxx Clarkson St,Dorchester,02125,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,
xxxxx Washington St,Dorchester,02124,2,2,0,0,0,0,2,2,0,Rental,Private,,
xxxxxx Blue Hill Ave,Roxbury,02119,4,4,0,0,0,0,4,4,0,Rental,Private,,
91 Washington St,Allston/Brighton,02135,82,82,0,0,0,0,82,82,0,Rental - Elderly,Public,Y,
xxxxxxx Blue Hill Ave,Roxbury,02121,2,2,0,0,0,0,2,2,0,Rental,Private,,
xxxxxxx Washington St,Roslindale,02131,28,0,28,27,0,27,1,0,1,Ownership,Private,,
564 Blue Hill Ave,Roxbury,02121,4,4,0,0,0,0,4,4,0,Rental,Public,,
xxxxxxxxx Blue Hill Avenue,Roxbury,02121,3,3,0,0,0,0,3,3,0,Rental,Private,,
xxxxxxxxxx Blue Hill Avenue,Roxbury,02119,5,0,5,0,0,0,5,0,5,Ownership,Private,,
YWCA Berkeley,South End,02116,208,208,0,168,168,0,40,40,0,Rental,Private,,
YWCA Boston Units,Back Bay/Beacon Hill,02116,115,115,0,36,36,0,79,79,0,Rental - Elderly,Private,Y,
Zebra Condominium,South End,02118,10,7,3,7,7,0,3,0,3,Ownership/Rental,Private,,
TOTAL UNITS,,,,,,,,,"54,247","51,693","2,554",,,,
