Project_Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8
Symphony Plaza East,Back Bay,02115,188,188,0,0,0,0,188,188,0,Rental,Private,Y,Y
Symphony Plaza West,Fenway,02115,216,216,0,0,0,0,216,216,0,Rental,Private,Y,Y
TAB I,Dorchester,02125,71,71,0,0,0,0,71,71,0,Rental,Private,Y,Y
TAB II,Jamaica Plain,02119,68,68,0,1,1,0,67,67,0,Rental,Private,,Y
TAB II?,Dorchester,02125,98,98,0,0,0,0,98,98,0,Rental,Private,,
Tai Tung Village,Chinatown,02111,215,215,0,1,1,0,214,214,0,Rental,Private,,Y
Taino Tower,South End,02118,27,0,27,12,0,12,15,0,15,Ownership,Private,,
Talbot Commons Phase 1,Dorchester,02124,40,40,0,21,21,0,19,19,0,Rental,Private,,
Talbot/Bernard (Elderly) 202,Dorchester,02124,31,31,0,1,1,0,30,30,0,Rental,Private,Y,Y
Talbot/Bernard (Rental),Dorchester,02124,44,44,0,0,0,0,44,44,0,Rental,Private,,
Tate (VUP),Dorchester,02124,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
Taurus Apts,Roxbury,02121,38,38,0,0,0,0,38,38,0,Rental,Private,,Y
Taurus at Fountain Hill,Roxbury,02119,73,73,0,0,0,0,73,73,0,Rental,Private,,Y
TDC III,South End,02118,61,61,0,46,46,0,15,15,0,Rental,Private,,
Tebroc Levant (HOME AGAIN),Dorchester,02124,5,1,4,0,0,0,5,1,4,Ownership/Rental,Private,,
Telford 180 (Formerly Charlesview Telford),Brighton,02135,85,0,85,79,0,79,6,0,6,Ownership,Private,,
Ten Most Wanted - 1,Dorchester,02121,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
Ten Most Wanted - 10,Roxbury,02125,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
Ten Most Wanted - 11,Dorchester,02121,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
Ten Most Wanted - 12,Roxbury,02125,1,0,1,0,0,0,1,0,1,Ownership,Private,,
Ten Most Wanted - 13,Roxbury,02119,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
Ten Most Wanted - 14,Dorchester,02124,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
Ten Most Wanted - 15,Roxbury,02125,1,0,1,0,0,0,1,0,1,Ownership,Private,,
Ten Most Wanted - 2,Mattapan,02126,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
Ten Most Wanted - 3,Roxbury,02119,4,2,2,0,0,0,4,2,2,Ownership/Rental,Private,,
Ten Most Wanted - 4,Dorchester,02122,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
Ten Most Wanted - 5,Dorchester,02121,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
Ten Most Wanted - 6,Dorchester,02121,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
Ten Most Wanted - 7,Dorchester,02124,2,1,1,0,0,0,2,1,1,Ownership,Private,,
Ten Most Wanted - 8,Dorchester,02121,3,2,1,2,2,0,1,0,1,Ownership,Private,,
Ten Most Wanted - 9,Dorchester,02121,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
Tent City,South End,02116,270,270,0,0,0,0,270,270,0,Rental,Private,,
Terrace St Artists,Jamaica Plain,02120,14,0,14,0,0,0,14,0,14,Ownership - Artists,Private,,
Terrace St Artists,Jamaica Plain,02120,14,0,14,0,0,0,14,0,14,Ownership - Artists,Private,,
Thane St Apts,Dorchester,02124,6,6,0,0,0,0,6,6,0,Rental,Private,,Y
The 1850 Condominium,South End,02118,87,0,87,76,0,76,11,0,11,Ownership,Private,,
The Aberdeen,Brighton,02125,40,0,40,35,0,35,5,0,5,Ownership,Private,,
The Anchorage,Charlestown,02129,112,112,0,89,89,0,23,23,0,Rental,Private,Y,
The Andi (South Bay Town Center Building C),Dorchester,02125,215,215,0,187,187,0,28,28,0,Rental,Private,,
The Beverly,West End,02114,239,239,0,0,0,0,239,239,0,Rental,Private,,
The Boulevard,Downtown,02110,36,0,36,31,0,31,5,0,5,Ownership,Private,,
The Brownstones,South End,02116,35,35,0,28,28,0,7,7,0,Rental,Private,,
The Bryant,South End,02116,50,0,50,48,0,48,2,0,2,Ownership,Private,,
The Bulfinch,Mission Hill,02120,5,5,0,0,0,0,5,5,0,Ownership,Private,,
The Carillon,Fenway,02115,31,30,1,30,30,0,1,0,1,Ownership/Rental,Private,,
The Chester,South End,02118,17,17,0,7,7,0,10,10,0,Rental,Private,,Y
The Clarendon,Back Bay,02116,285,178,107,248,142,106,37,36,1,Ownership/Rental,Private,,
The Clarion,Roxbury,02121,39,39,0,7,7,0,32,32,0,Rental,Private,,
The Commons at Forest Hills,Jamaica Plain,02130,283,283,0,243,243,0,40,40,0,Rental,Private,,
The Dorchester,Mattapan,02126,47,47,0,0,0,0,47,47,0,Rental,Private,?,Y
The Edge,Allston,02134,79,79,0,69,69,0,10,10,0,Rental,Private,,
The Graphic,Charlestown,02129,171,171,0,148,148,0,23,23,0,Rental,Private,,
The Harmon Apartments (Boston Home Group),Dorchester,02124,36,0,36,6,0,6,30,30,0,Rental,Private,,
The Harvey,Charlestown,02129,177,177,0,154,154,0,23,23,0,Rental,Private,,
The Homes at Roxbury Crossing,Mission Hill,02120,22,0,22,0,0,0,22,0,22,Ownership,Private,,
The Lancaster,Brighton,02134,55,0,55,37,0,37,18,0,18,Ownership,Private,,
The Macallen,South Boston,02127,144,0,144,124,0,124,20,0,20,Ownership,Private,,
The Mark at DeNormanie Wharf,East Boston,02128,107,0,107,101,0,101,6,0,6,Ownership,Private,,
The Melnea (Parcel 9/Residential),Roxbury,02119,50,50,0,43,43,0,7,7,0,Rental,Private,,
The Metropolitan,Chinatown,02111,251,133,118,136,52,84,115,81,34,Ownership/Rental,Private,,Y
The Modern,Roxbury,02118,62,0,62,53,0,53,9,0,9,Ownership,Private,,
The Mt Vernon,Allston,02134,7,7,0,5,5,0,2,2,0,Rental,Private,,
The Nautica,Charlestown,02129,117,0,117,105,0,105,12,0,12,Ownership,Private,,
The Pierce,Fenway,02215,349,240,109,307,68,239,42,41,1,Ownership/Rental,Private,,
The Radian,Chinatown,02111,240,240,0,235,235,0,5,5,0,Rental,Private,,
The Residences At Forest Hills,Jamaica Plain,02130,250,250,0,200,200,0,50,50,0,Rental,Private,,
The Residences at St. Augustine,South Boston,02127,29,0,29,25,0,25,4,0,4,Ownership,Private,,
The Residences at West Broadway,South Boston,02127,139,139,0,122,122,0,17,17,0,Rental,Private,,
The Residences on E,South Boston,02127,34,0,34,30,0,30,4,0,4,Ownership,Private,,
The Seville Boston Harbor,East Boston,02128,66,0,66,58,0,58,8,0,8,Ownership,Private,,
The Stearns,Downtown,02111,140,140,0,1,1,0,139,139,0,Rental,Private,Y,Y
The Sudbury [Govt Center Garage Rental],Downtown,02114,368,368,0,305,305,0,63,63,0,Rental,Private,,
The Tremont,Mission Hill,02120,66,66,0,65,65,0,1,1,0,Rental,Private,,
Theroch,Roxbury,02121,222,222,0,31,31,0,191,191,0,Rental,Private,,Y
Thetford-Dyer Neighborhood Homes,Dorchester,02124,16,7,9,6,6,0,10,4,6,Ownership/Rental,Private,,
Torre Unidad (2-49),South End,02118,201,201,0,0,0,0,201,201,0,Rental,Public,Y,
Townhouses at Glenwood,Hyde Park,02136,19,0,19,17,0,17,2,0,2,Rental,Private,?,
Townhouses at Neponset River,Hyde Park,02136,16,0,16,14,0,14,2,0,2,Ownership,Private,,
Treadmark,Dorchester,02124,83,51,32,28,0,28,55,51,4,Ownership/Rental,Private,,
Tremont Houses,Roxbury,02118,23,23,0,0,0,0,23,23,0,Rental,Private,,
Trilogy Residential,Fenway,02215,534,534,0,475,475,0,59,59,0,Rental,Private,,
Trinity Neighborhood House,East Boston,02128,16,16,0,0,0,0,16,16,0,Rental,Private,?,
Trinity Terrace,Dorchester,02121,62,62,0,0,0,0,62,62,0,Rental,Private,,
Trolley House Condos,South Boston,02127,25,0,25,23,0,23,2,0,2,Ownership,Private,,
Troy Boston,South End,02118,378,378,0,340,340,0,38,38,0,Rental,Private,,
Trull/Ware Homes,Dorchester,02125,4,1,3,0,0,0,4,1,3,Ownership/Rental,Private,,
Twenty at Luma,Roxbury,02119,20,0,20,0,0,0,20,0,20,Ownership,Private,,
UE Apartments,Jamaica Plain,02130,82,82,0,0,0,0,82,82,0,Rental,Private,Y,
UE Dixwell Park,Jamaica Plain,02119,33,33,0,0,0,0,33,33,0,Rental,Private,,
Uhomes,Brighton,02134,20,0,20,8,0,8,12,0,12,Ownership,Private,,
Ulin House,Brighton,02135,242,242,0,0,0,0,242,242,0,Rental,Private,Y,Y
Uphams Corner Market Residential and Elderhouse,Dorchester,02125,45,45,0,1,1,0,44,44,0,Rental,Private,Y,
Uphams Corner/Red Hazel Apts,Dorchester,02125,36,36,0,0,0,0,36,36,0,Rental,Private,,Y
Uphams West,Roxbury,02125,13,13,0,0,0,0,13,13,0,Rental,Private,,
Upton Street Lodging House,South End,02136,19,19,0,1,1,0,18,18,0,Rental,Private,,
Upton Street Lodging House Units,South End,02118,19,19,0,1,1,0,18,18,0,Rental,Private,,
Urbanica 691,Roxbury,02118,40,0,40,38,0,38,2,0,2,Ownership,Private,,
Urbanica Highland Park (E+),Roxbury,02119,4,0,4,3,0,3,1,0,1,Ownership,Private,,
Uva Douglas Estates,Roxbury,02121,15,15,0,0,0,0,15,15,0,Rental,Private,,
Valenchuck (VUP),Dorchester,02122,2,2,0,0,0,0,2,2,0,Rental,Private,,
Van Ness Terrace,Roxbury,02119,50,50,0,0,0,0,50,50,0,Rental,Private,,
Vertullo Building (AOP),Hyde Park,02136,3,3,0,0,0,0,3,3,0,Rental,Private,,
Vet Step Up,Roxbury,02121,10,10,0,0,0,0,10,10,0,Rental,Private,,
Veterans Studios at Brighton Marine,Brighton,02135,25,25,0,0,0,0,25,25,0,Rental,Private,,
VFW Parkway Condos,West Roxbury,02132,15,0,15,14,0,14,1,0,1,Ownership,Private,,
Victoria Apartments,South End,02118,190,190,0,0,0,0,190,190,0,Rental,Private,,Y
Victory Gardens Plaza,East Boston,02128,87,87,0,0,0,0,87,87,0,Rental,Private,Y,Y
Victory House,South End,02118,6,6,0,0,0,0,6,6,0,Rental,Private,,
Viet-AID,Dorchester,02122,6,6,0,0,0,0,6,6,0,Rental,Private,,
Villa Michelangelo,North End,02113,71,71,0,0,0,0,71,71,0,Rental,Private,Y,
Village At Cleary Square,Hyde Park,02136,59,0,59,53,0,53,6,0,6,Ownership,Private,,
Vines (VUP) CDFI,Dorchester,02121,2,2,0,0,0,0,2,2,0,Rental,Private,,
Violet|Evelyn NHI (523 Norfolk),Mattapan,02126,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
Viridian,Fenway,02215,350,350,0,312,312,0,38,38,0,Rental,Private,,
VITA,Jamaica Plain,02130,126,0,126,107,0,107,19,0,19,Ownership,Private,,
Viviendas Associates I,South End,02118,181,181,0,0,0,0,181,181,0,Rental,Private,,Y
Viviendas La Victoria II,South End,02118,190,190,0,0,0,0,190,190,0,Rental,Private,,
Wait Street,Mission Hill,02115,100,100,0,0,0,0,100,100,0,Rental,Private,Y,Y
Walker Park Apartments,Roxbury,02130,49,49,0,0,0,0,49,49,0,Rental,Private,,
Wallingford Housing,Brighton,02135,209,209,0,0,0,0,209,209,0,Rental,Private,Y,Y
Walnut Avenue Apartments (SPO),Jamaica Plain,02130,31,31,0,0,0,0,31,31,0,Rental,Private,,
Walnut Community Housing,Roxbury,02119,37,37,0,3,3,0,34,34,0,Rental,Private,Y,
Walnut House/Rogerson,Jamaica Plain,02119,37,37,0,0,0,0,37,37,0,Rental,Private,Y,
Walter Baker Lofts,Mattapan,02124,13,13,0,0,0,0,13,13,0,Rental,Private,,
Walter J. Martin Coop,South Boston,02127,34,34,0,0,0,0,34,34,0,Cooperative,Private,,
Wardman Apts,Roxbury,02119,88,88,0,0,0,0,88,88,0,Rental,Private,,Y
Wareham Lofts,South End,02118,28,0,28,25,0,25,3,0,3,Ownership,Private,,
Warren Avenue Apts,South End,02116,30,30,0,1,1,0,29,29,0,Rental,Private,,Y
Warren Gardens Coop,Roxbury,02119,228,228,0,0,0,0,228,228,0,Cooperative,Private,,Y
Warren Green Leasehold Condominiums,Charlestown,02129,17,0,17,15,0,15,2,0,2,Ownership,Private,,
Warren St Nursing Home,Roxbury,02121,9,9,0,0,0,0,9,9,0,Rental,Private,,
Washington Grove,West Roxbury,02132,24,0,24,21,0,21,3,0,3,Ownership/Rental,Private,,
"Washington Heights I, II",Roxbury,02119,175,175,0,0,0,0,175,175,0,Rental,Private,,Y
Washington Manor (2-44C),South End,02118,77,77,0,0,0,0,77,77,0,Rental,Public,Y,
Washington Mews,Dorchester,02124,20,20,0,0,0,0,20,20,0,Rental,Private,,
Washington Street (2-35),Brighton,02135,82,82,0,0,0,0,82,82,0,Rental,Public,Y,
Washington-Beech (2-13),Roslindale,02131,206,206,0,0,0,0,206,206,0,Rental,Public/Private,,Y
Waterford Place,South End,02118,40,40,0,14,14,0,26,26,0,Rental,Private,,
Watermark Seaport Apartments,South Boston Waterfront,02210,346,346,0,301,301,0,45,45,0,Rental,Private,,
Waterside Place,South Boston Waterfront,02210,236,236,0,231,231,0,5,5,0,Rental,Private,,
Waterstone at the Circle,Brighton,02135,92,92,0,80,80,0,12,12,0,Rental,Private,?,
Waterview Apartments,South Boston,02127,49,49,0,0,0,0,49,49,0,Rental,Private,Y,Y
Watson (VUP),Dorchester,02124,2,2,0,0,0,0,2,2,0,Rental,Private,,
Waverly Abby - Bridge Over Troubled Waters,Brighton,02134,28,28,0,0,0,0,28,28,0,Rental,Private,,
Waverly Homes II,Roxbury,02125,9,2,7,0,0,0,9,2,7,Ownership/Rental,Private,,
Wayland Street Homes,Roxbury,02125,6,0,6,0,0,0,6,0,6,Ownership,Private,,
Wayne Apartments,Roxbury,02121,74,74,0,0,0,0,74,74,0,Rental,Private,,Y
Wayne at Bicknell,Dorchester,02121,72,72,0,0,0,0,72,72,0,Rental,Private,,Y
Wayne at Blue Hill,Mattapan,02126,48,48,0,0,0,0,48,48,0,Rental,Private,,Y
Wayne at Columbia,Dorchester,02121,83,83,0,0,0,0,83,83,0,Rental,Private,,Y
Wayne at Franklin,Dorchester,02124,72,72,0,0,0,0,72,72,0,Rental,Private,,Y
Weld Park Apts,Roslindale,02131,14,14,0,0,0,0,14,14,0,Rental,Private,Y,Y
Wellington Hill Phase I,Dorchester,02126,23,9,14,0,0,0,23,9,14,Ownership/Rental,Private,,
Wellington Hill Phase II,Mattapan,02126,8,3,5,0,0,0,8,3,5,Ownership/Rental,Private,,
Welsh (VUP),Brighton,02135,1,1,0,0,0,0,1,1,0,Rental,Private,,
West Broadway/D St (200-1),South Boston,02127,484,484,0,0,0,0,484,484,0,Rental,Public,,
West Cottage St Condominiums,Roxbury,02125,4,0,4,0,0,0,4,0,4,Ownership,Private,,
West Fenway Elderly,South End,02118,5,5,0,0,0,0,5,5,0,Rental,Private,Y,
West Newton Street (2-58),South End,02118,149,149,0,0,0,0,149,149,0,Rental,Public,,
West Ninth Street (2-36),South Boston,02127,84,84,0,1,1,0,83,83,0,Rental,Public,Y,
West Roxbury Residences,West Roxbury,02132,4,4,0,0,0,0,4,4,0,Rental,Private,,
West Square,South Boston,02127,255,255,0,222,222,0,33,33,0,Rental,Private,,
Westland Avenue Apartments,Fenway,02115,96,96,0,35,35,0,61,61,0,Rental,Private,Y,Y
Westminster 21 (Urban Edge),Roxbury,02119,5,0,5,0,0,0,5,0,5,Ownership,Private,,
Westminster Court,Roxbury,02119,70,70,0,0,0,0,70,70,0,Rental,Private,,
Whittier Street Apartments (2-11),Roxbury,02120,144,144,0,16,16,0,128,128,0,Rental,Public/Private,,
Whittier/Lyndhurst/Washington,Dorchester,02124,44,44,0,0,0,0,44,44,0,Rental,Private,,
Wilder Gardens,Dorchester,02121,61,61,0,0,0,0,61,61,0,Rental,Private,,Y
Wilkes Passage Loft Condominium,South End,02118,155,0,155,135,0,135,20,0,20,Ownership,Private,,
Williams (VUP),Roxbury,02119,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Willowwood|Hildreth NHI,Dorchester,02124,8,4,4,0,0,0,8,4,4,Ownership/Rental,Private,,
Wilshire Apartments,Roxbury,02121,29,29,0,0,0,0,29,29,0,Rental,Private,,Y
Winslow Court,Roxbury,02119,24,5,19,0,0,0,24,5,19,Ownership/Rental,Private,,
Winston/Harwood (689-?),Dorchester,02124,10,0,10,0,0,0,10,0,10,Ownership,Public,,
Wood (VUP),Dorchester,02124,1,1,0,0,0,0,1,1,0,Rental,Private,,
Woodbourne Elderly Apts,Jamaica Plain,02130,76,76,0,1,1,0,75,75,0,Rental,Private,Y,Y
Woodbury Cunard Building,East Boston,02128,17,17,0,0,0,0,17,17,0,Rental,Private,Y,
Woodledge/Granfield,Roslindale,02131,6,6,0,0,0,0,6,6,0,Rental,Private,,
Woodward Park - North - Home Again,Roxbury,02125,10,0,10,0,0,0,10,0,10,Ownership,Private,,
Woodward Park II - HOME AGAIN,Roxbury,02125,11,0,11,0,0,0,11,0,11,Ownership,Private,,
Worcester House,Back Bay,02116,16,16,0,0,0,0,16,16,0,Rental,Private,,
Worcester Square,South End,02118,31,31,0,0,0,0,31,31,0,Rental,Private,,
Wrentham St School,Mission Hill,02120,8,8,0,0,0,0,8,8,0,Rental,Private,,
x  Boylston St (Boylston Place),Fenway/Kenmore,02215,451,451,0,383,383,0,68,68,0,Rental,Private,,
x & 404 West Second St,South Boston,02127,17,0,17,14,0,14,3,0,3,Ownership,Private,,
x & 50 Corbet (REMS Land),Dorchester,02124,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x & x St George Street Condominium,South End,02118,29,0,29,15,0,15,14,0,14,Ownership,Private,,
x A Street,South Boston,02127,25,0,25,22,0,22,3,0,3,Ownership,Private,,
x A Street Front,South Boston Waterfront,02127,48,0,48,44,0,44,4,0,4,Ownership,Private,,
x Adams Street,Dorchester,02122,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Addison St,East Boston,02128,230,230,0,200,200,0,30,30,0,Rental,Private,,
x Albany Street,South End,02118,40,0,40,35,0,35,5,0,5,Ownership,Private,,
x Algonquin St,Dorchester,02124,9,9,0,1,1,0,8,8,0,Rental,Private,,
x Alpine Street,Roxbury,02119,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Alvah Kittredge Park,Roxbury,02119,4,2,2,3,1,2,1,1,0,Ownership/Rental,Private,,
x American Legion Highway (AOP),Roslindale,02131,8,8,0,0,0,0,8,8,0,Rental,Private,,
x Amory Ave,Jamaica Plain,02119,39,39,0,0,0,0,39,39,0,Rental,Private,,
x Amory St,Jamaica Plain,02119,12,12,0,10,10,0,2,2,0,Rental,Private,,
x and 120-122 Mt. Pleasant Avenue,Roxbury,02119,9,9,0,0,0,0,9,9,0,Rental,Private,,
x and 380 Harrison Ave,South End,02118,273,172,101,218,120,98,55,52,3,Ownership/Rental,Private,,
x Arbutus (YouthBuild),Dorchester,02124,2,0,2,0,0,0,2,0,2,Ownership,Private,,
x Arbutus Street,Dorchester,02124,2,0,2,0,0,0,2,0,2,Ownership,Private,,
x Arlington St (AOP),Hyde Park,02136,4,4,0,0,0,0,4,4,0,Rental,Private,,
x Ashland St,Dorchester,02122,6,6,0,0,0,0,6,6,0,Rental,Public,,
x Astoria Street (Beharry VUP),Mattapan,02126,2,2,0,0,0,0,2,2,0,Rental,Private,,
x Athens St,South Boston,02127,15,0,15,13,0,13,2,0,2,Ownership,Private,,
x B Street,South Boston,02127,3,0,3,2,0,2,1,0,1,Ownership,Private,,
x Banton St,Dorchester,02124,18,0,18,16,16,0,2,2,0,Rental,Private,,
x Batchelder St,Dorchester,02125,2,1,1,0,0,0,2,1,1,Ownership/Rental,Public,,
x Beach St. Loft Condominium,Leather District,02111,44,0,44,41,0,41,3,0,3,Ownership,Private,,
x Belgrade Ave,Roslindale,02131,21,21,0,18,18,0,3,3,0,Rental,Private,,
x Bellevue Street,Dorchester,02125,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Bennington St,East Boston,02128,42,42,0,37,37,0,5,5,0,Rental,Private,,
x Bennington St (AOP),East Boston,02128,2,2,0,0,0,0,2,2,0,Rental,Private,,
x Bennington St. EBO 02128-COB,East Boston,02128,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
x Birch Rd (RDP),West Roxbury,02122,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Blackinton St (AOP),East Boston,02128,2,2,0,0,0,0,2,2,0,Rental,Private,,
x Blue Hill Ave,Roxbury,02119,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
x Blue Hill Ave (REMS buildings),Roxbury,02121,2,2,0,0,0,0,2,2,0,Rental,Private,,
x Boardman,East Boston,02128,19,19,0,17,0,17,2,0,2,Ownership,Private,,
x Boardman St,East Boston,02128,6,6,0,0,0,0,6,6,0,Rental,Public,,
x Border Street,East Boston,02128,18,0,18,16,0,16,2,0,2,Ownership,Private,,
x Bowdoin Ave (AOP),Dorchester,02121,31,31,0,0,0,0,31,31,0,Rental,Private,,
x Bowdoin St,Dorchester,02124,3,3,0,0,0,0,3,3,0,Rental,Public,,
x Bowdoin St (RDP),Dorchester,02121,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Boylston,Fenway,02215,199,199,0,189,189,0,10,10,0,Rental,Private,,
x Boylston Rehab Phase,Downtown,02116,46,46,0,0,0,0,46,46,0,Rental,Private,,
x Boylston St,Downtown,02116,18,18,0,16,16,0,2,2,0,Rental,Private,,
x Braintree Street,Allston,02134,80,80,0,69,69,0,11,11,0,Rental,Private,,
x Breed St (AOP),East Boston,02128,2,2,0,0,0,0,2,2,0,Rental,Private,,
x Bremen St,East Boston,02128,32,32,0,27,27,0,5,5,0,Rental,Private,,
x Bremen St (AOP),East Boston,02128,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Brighton Ave,Allston/Brighton,02134,129,129,0,112,112,0,17,17,0,Rental,Private,,
x Broad Street,Downtown,02110,96,0,96,93,0,93,3,0,3,Ownership,Private,,
x Brooks St (AOP),East Boston,02128,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Burbank Street,Fenway,02115,36,36,0,5,5,0,31,31,0,Rental,Private,,
x Burney St,Jamaica Plain,02120,24,24,0,21,21,0,3,3,0,Rental,Private,,
x Burt St/VOA Sober House,Dorchester,02124,16,16,0,0,0,0,16,16,0,Rental,Private,,
x Bushnell St,Dorchester,02124,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Cambridge,Allston,02134,44,0,44,38,0,38,6,0,6,Ownership,Private,,
x Cambridge St,Allston,02134,32,0,32,28,0,28,4,0,4,Ownership,Private,,
x Cambridge Street,Allston,02134,40,40,0,35,35,0,5,5,0,Rental,Private,,
x Cameron Street,Dorchester,02125,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Carlford Rd,Jamaica Plain,02130,2,2,0,0,0,0,2,2,0,Rental,Public,,
x Catawba St - Youthbuild,Roxbury,02119,3,2,1,1,1,0,2,1,1,Ownership/Rental,Private,,
x Centre Street,Jamaica Plain,02119,103,103,0,68,68,0,35,35,0,Rental,Public/Private,,
x Cetnre Street,Jamaica Plain,02130,204,204,0,0,0,0,204,204,0,Rental,Public,,
x Chamblet Street,Dorchester,02125,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Chaucer St (AOP),East Boston,02128,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Chauncy Street Condominium,Downtown,02111,33,0,33,29,0,29,4,0,4,Ownership,Private,,
x Chelsea St (1-4 Program),East Boston,02128,4,0,4,0,0,0,4,0,4,Ownership,Private,,
x Chelsea St (AOP),East Boston,02128,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Chelsea Street E. Boston - COB,East Boston,02128,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
x Chestnut Ave (1-4 Program),Jamaica Plain,02130,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Chestnut Hill Ave,Brighton,02135,21,21,0,18,18,0,3,3,0,Rental,Private,,
x Chipman St (RDP),Dorchester,02124,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Clarkson St,Dorchester,02125,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
x Clifton St,Dorchester,02125,2,2,0,0,0,0,2,2,0,Rental,Public,,
x Clifton St (RDP),Roxbury,02119,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Coffey St,Dorchester,02122,46,46,0,43,43,0,3,3,0,Rental,Private,,
x Coleman St (1-4 Program),Dorchester,02125,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
x Coleman St (REO),Dorchester,02125,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,
x Coleman Street,Dorchester,02125,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Colonial Avenue E+,Dorchester,02124,4,0,4,3,0,3,1,0,1,Ownership,Private,,
x Columbus Ave,Roxbury,02119,5,5,0,0,0,0,5,5,0,Rental,Private,,
x Columbus Ave Conversion,South end,02116,62,0,62,54,0,54,8,0,8,Ownership,Private,,
x Columbus Avenue,Roxbury,02119,165,165,0,0,0,0,165,165,0,Rental,Public,Y,
x Commercial St,North End,02109,20,0,20,18,0,18,2,0,2,Ownership ,Private,,
x Commonwealth Ave,Brighton,02135,80,80,0,70,70,0,10,10,0,Rental,Private,,
x Commonwealth Ave (Phase 2 - Dorm/Micro Conversion),Allston,02134,179,179,0,155,155,0,24,24,0,Rental,Private,,
x Commonwealth Avenue,Allston,02134,61,61,0,1,1,0,60,60,0,Rental,Private,,
x Condor St,East Boston,02128,18,0,18,16,0,16,2,0,2,Ownership,Private,,
x Congress Street,South Boston Waterfront,02127,44,44,0,40,40,0,4,4,0,Rental,Private,,
x Corman Road Mattapan - COB,Mattapan,02126,2,1,1,1,0,1,1,0,1,Ownership,Private,,
x Cranston St,Jamaica Plain,02130,1,0,1,0,0,0,1,0,1,Ownership,Private,,
x Crawford Street SRO,Roxbury,02121,17,17,0,0,0,0,17,17,0,Rental,Private,,
x Cummins Highway,Mattapan,02126,32,32,0,0,0,0,32,32,0,Rental,Private,,
x D St,South Boston,02127,8,8,0,0,0,0,8,8,0,Rental,Private,,
x D Street,South Boston Waterfront,02127,197,197,0,171,171,0,26,26,0,Rental,Private,,
x Dacia Street,Roxbury,02125,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
x Dale Street Condominium,Roxbury,02119,4,0,4,0,0,0,4,0,4,Ownership,Private,,
x Damon Place (AOP),Hyde Park,02136,6,6,0,0,0,0,6,6,0,Rental,Private,,
x Devon Street,Dorchester,02121,3,3,0,0,0,0,3,3,0,Rental,Private,,
x Dorchester Av,Dorchester,02124,64,0,64,56,56,0,8,8,0,Rental,Private,,
x Dorchester Ave,Dorchester,02125,13,0,13,11,0,11,2,0,2,Ownership,Private,,
x Dorchester Ave. (SPO),Dorchester,02122,43,43,0,0,0,0,43,43,0,Rental,Private,,
x Dorchester St,South Boston,02127,35,35,0,29,29,0,6,6,0,Rental,Private,,
x Dorchester St.,South Boston,02127,7,7,0,0,0,0,7,7,0,Rental,Private,,
x Draper St (BuildHOME),Dorchester,02122,2,1,1,1,1,0,1,0,1,Ownership/Rental,Private,,
x Dudley St (REO),Dorchester,02125,4,4,0,0,0,0,4,4,0,Rental,Private,,
x Dudley Street,Roxbury,02119,68,68,0,0,0,0,68,68,0,Rental,Private,,
